"Field","Description","Required","ValidRange"
"Component","Type of metadata template; provide the same one for all items/rows.","true","#"
"assay","The technology used to generate the data in this file.","true","#AssayEnum"
"dataSubtype","Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","true","#DataSubtype"
"dataType","A type of data -- experimental, clinical, or other. Most typically refers to a high-level data type that can be related to an assay type.  For example, a file of dataType `genomicVariants` might have an assay value of `whole genome sequencing`.
","true","#Data|#Metadata"
"fileFormat","Defined format of the data file, typically corresponding to extension, but sometimes indicating more general group of files produced by the same tool or software","true","#FileFormatEnum"
"individualID","A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.","true","#"
"resourceType","The type of resource being stored and annotated","true","#Resource"
"species","The name of a species (typically a taxonomic group) of organism.","true","#SpeciesEnum"
"Filename","The name of the file.","false","#"
"age","A numeric value representing age of the individual. Use with `ageUnit`.","false","#"
"ageUnit","A time unit that can be used with a given age value, e.g. years.","false","#TimeUnit"
"comments","Brief free-text comments that may also be important to understanding the resource.","false","#"
"compoundDose","A dose quantity for the treatment compound. To be used with compoundDoseUnit.","false","#"
"compoundDoseUnit","A unit associated with the value(s) in compoundDose.","false","#"
"compoundName","Common name for a compound, e.g. “Selumetinib” (https://pubchem.ncbi.nlm.nih.gov/compound/10127622)","false","#"
"diagnosis","A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.","false","#DiagnosisEnum"
"experimentalCondition","A free-text description of the experimental condition (e.g. 5 mM doxorubicin).","false","#"
"experimentalFactor","An ontology concept for experimental factor measured with this data.","false","#Measurement"
"modelSystemName","A group of presumed common ancestry with clear-cut physiological but usually not morphological distinctions such as an animal model or cell line. EXAMPLE(S):  HEK293 (cell line), Minnesota5 (swine strain), DXL (poultry strain), RB51 (vaccine strain of Brucella abortus)","false","#CellLineModel|#MouseModel"
"nf1Genotype","Genotype of NF1 gene in the biospecimen from which the data were derived, if known.","false","#Genotype|#UnknownEnum"
"nf2Genotype","Genotype of NF2 gene in the biospecimen from which the data were derived, if known","false","#Genotype|#UnknownEnum"
"sex","Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","false","#SexEnum|#UnknownEnum|#NotApplicableEnum"
"timepointUnit","For timed experiments this represents the unit of time measured","false","#TimeUnit"
